Fecha;P42
2017/01;
2017/02;78.72
2017/03;173.76
2017/04;161.76
2017/05;204.48
2017/06;194.16
2017/07;253.44
2017/08;163.2
2017/09;138.96
2017/10;128.64
2017/11;90.96
2017/12;132.24
2018/01;91.26
2018/02;26.2
2018/03;
2018/04;
2018/05;114.9
2018/06;73.9
2018/07;76.1
2018/08;80.9
2018/09;63.2
2018/10;39.8
2018/11;52.8
2018/12;54.6
2019/01;36.9
2019/02;42.6
2019/03;36.6
2019/04;52.1
2019/05;110.3
2019/06;134.8
2019/07;92.3
2019/08;92.5
2019/09;45.4
2019/10;31.9
2019/11;61.9
2019/12;92.1
2020/01;129.7
2020/02;57.4
2020/03;
2020/04;
2020/05;
2020/06;
2020/07;
2020/08;
2020/09;119.8
2020/10;
2020/11;
2020/12;
2021/01;
2021/02;
2021/03;
2021/04;169.4
2021/05;156.4
2021/06;176.3
2021/07;
2021/08;
2021/09;158
2021/10;76.8
2021/11;73.9
2021/12;15.9
2022/01;0.3
2022/02;0
2022/03;0
2022/04;69.5
2022/05;129.1
2022/06;170.1
2022/07;165.2
2022/08;
2022/09;
2022/10;
2022/11;52.7
2022/12;
2023/01;
2023/02;
2023/03;167.4
2023/04;
2023/05;
2023/06;
2023/07;157.5
2023/08;127.9
2023/09;63
2023/10;45.4
2023/11;
2023/12;
2024/01;42.2
2024/02;80.3
2024/03;76.2
2024/04;129.89
2024/05;13.86
2024/06;14.83
