Fecha;P43_3
2017/01;113.9
2017/02;61.6
2017/03;106.8
2017/04;85.9
2017/05;
2017/06;
2017/07;
2017/08;95.2
2017/09;85.6
2017/10;82.6
2017/11;78.6
2017/12;90.5
2018/01;107.6
2018/02;44.2
2018/03;65.5
2018/04;150.7
2018/05;171.3
2018/06;143.1
2018/07;91.2
2018/08;100
2018/09;104.6
2018/10;55.9
2018/11;
2018/12;
2019/01;
2019/02;
2019/03;
2019/04;
2019/05;
2019/06;
2019/07;127.7
2019/08;
2019/09;
2019/10;
2019/11;
2019/12;69.8
2020/01;81
2020/02;
2020/03;
2020/04;
2020/05;
2020/06;
2020/07;
2020/08;
2020/09;
2020/10;
2020/11;111.8
2020/12;57.5
2021/01;86.2
2021/02;83.2
2021/03;136
2021/04;175.7
2021/05;167.1
2021/06;195.7
2021/07;177.9
2021/08;104.9
2021/09;156.4
2021/10;90.3
2021/11;80.8
2021/12;73.8
2022/01;45
2022/02;71.1
2022/03;105.2
2022/04;128.5
2022/05;154.1
2022/06;188
