fecha,valor,completo_mediciones,completo_umbral
2017/01,113.90,100.0,100.0
2017/02,61.60,100.0,100.0
2017/03,106.80,100.0,100.0
2017/04,85.90,100.0,100.0
2017/05,,58.1,58.1
2017/06,,,
2017/07,,,
2017/08,95.20,100.0,100.0
2017/09,85.60,100.0,100.0
2017/10,82.60,100.0,100.0
2017/11,78.60,100.0,100.0
2017/12,90.50,100.0,100.0
2018/01,107.60,100.0,100.0
2018/02,44.20,100.0,100.0
2018/03,65.50,100.0,100.0
2018/04,150.70,100.0,100.0
2018/05,171.30,100.0,100.0
2018/06,143.10,100.0,100.0
2018/07,91.20,100.0,100.0
2018/08,100.00,100.0,100.0
2018/09,104.60,100.0,100.0
2018/10,55.90,83.0,80.6
2018/11,,,
2018/12,,,
2019/01,,,
2019/02,,,
2019/03,,,
2019/04,,,
2019/05,,,
2019/06,,36.6,36.7
2019/07,127.70,100.0,100.0
2019/08,,65.9,64.5
2019/09,,44.8,43.3
2019/10,,75.0,74.2
2019/11,,9.1,6.7
2019/12,69.80,100.0,100.0
2020/01,81.00,99.6,100.0
2020/02,,28.0,24.1
2020/03,,1.0,0.0
2020/04,,0.0,0.0
2020/05,,2.7,0.0
2020/06,,0.0,0.0
2020/07,,0.0,0.0
2020/08,,32.6,25.8
2020/09,,87.5,66.7
2020/10,,80.9,71.0
2020/11,111.80,100.0,100.0
2020/12,57.50,100.0,100.0
2021/01,86.20,100.0,100.0
2021/02,83.20,100.0,100.0
2021/03,136.00,90.9,87.1
2021/04,175.70,100.0,100.0
2021/05,167.10,100.0,100.0
2021/06,195.70,100.0,100.0
2021/07,177.90,100.0,100.0
2021/08,104.90,96.1,93.5
2021/09,156.40,100.0,100.0
2021/10,90.30,100.0,100.0
2021/11,80.80,100.0,100.0
2021/12,73.80,100.0,100.0
2022/01,45.00,100.0,100.0
2022/02,71.10,100.0,100.0
2022/03,105.20,100.0,100.0
2022/04,128.50,100.0,100.0
2022/05,154.10,100.0,100.0
2022/06,188.00,100.0,100.0
2022/07,172.30,100.0,100.0
2022/08,,2.6,0.0
2022/09,,7.4,6.7
2022/10,63.60,100.0,100.0
2022/11,55.00,100.0,100.0
2022/12,66.40,100.0,100.0
2023/01,80.30,100.0,100.0
2023/02,45.20,100.0,100.0
2023/03,146.40,100.0,100.0
2023/04,106.00,96.5,93.3
2023/05,143.00,100.0,100.0
2023/06,177.50,100.0,100.0
2023/07,230.60,100.0,100.0
2023/08,159.20,100.0,100.0
2023/09,75.10,100.0,100.0
2023/10,56.60,100.0,100.0
2023/11,,70.0,70.0
2023/12,,0.0,0.0
2024/01,73.60,80.6,80.6
2024/02,72.60,100.0,100.0
2024/03,82.40,100.0,100.0
2024/04,156.30,100.0,100.0
2024/05,162.10,100.0,100.0
2024/06,179.70,100.0,100.0
