Fecha,P55
01/01/2017,87
01/02/2017,73.7
01/03/2017,133.9
01/04/2017,52.7
01/05/2017,85.7
01/06/2017,104.7
01/07/2017,104.9
01/08/2017,88
01/09/2017,63.7
01/10/2017,42.3
01/11/2017,91.9
01/12/2017,64.6
01/01/2018,86.1
01/02/2018,62
01/03/2018,54.7
01/04/2018,112.9
01/05/2018,64.3
01/06/2018,67.3
01/07/2018,65.1
01/08/2018,77.6
01/09/2018,86.1
01/10/2018,103.1
01/11/2018,149.3
01/12/2018,74.2
01/01/2019,67.7
01/02/2019,85.6
01/03/2019,96.3
01/04/2019,0
01/05/2019,0
01/06/2019,118.4
01/07/2019,127.8
01/08/2019,0
01/09/2019,60.9
01/10/2019,104.5
01/11/2019,68.5
01/12/2019,67.4
01/01/2020,82.6
01/02/2020,63.7
01/03/2020,31.7
01/04/2020,50.4
01/05/2020,0
01/06/2020,142.6
01/07/2020,144.5
01/08/2020,52.5
01/09/2020,104.3
01/10/2020,49.8
01/11/2020,125.6
01/12/2020,58
01/01/2021,64.6
01/02/2021,75.2
01/03/2021,209.4
01/04/2021,0
01/05/2021,126.7
01/06/2021,116.7
01/07/2021,92
01/08/2021,73.7
01/09/2021,112.8
01/10/2021,86.9
01/11/2021,57.4
01/12/2021,51.8
01/01/2022,33
01/02/2022,60.1
01/03/2022,60.5
01/04/2022,80.9
01/05/2022,104.9
01/06/2022,158.8
01/07/2022,133.3
01/08/2022,0
01/09/2022,0
01/10/2022,0
01/11/2022,0
01/12/2022,54.9
01/01/2023,70.4
01/02/2023,40.6
01/03/2023,124.8
01/04/2023,98.8
01/05/2023,91.3
01/06/2023,73.5
01/07/2023,93.6
01/08/2023,78.7
01/09/2023,0
01/10/2023,41.5
01/11/2023,69.3
01/12/2023,78.1
01/01/2024,61.1
01/02/2024,73.2
01/03/2024,73.5
01/04/2024,120.9
01/05/2024,92.7
01/06/2024,105
