Fecha,P55
2017-01-01,87
2017-02-01,73.7
2017-03-01,133.9
2017-04-01,52.7
2017-05-01,85.7
2017-06-01,104.7
2017-07-01,104.9
2017-08-01,88
2017-09-01,63.7
2017-10-01,42.3
2017-11-01,91.9
2017-12-01,64.6
2018-01-01,86.1
2018-02-01,62
2018-03-01,54.7
2018-04-01,112.9
2018-05-01,64.3
2018-06-01,67.3
2018-07-01,65.1
2018-08-01,77.6
2018-09-01,86.1
2018-10-01,103.1
2018-11-01,149.3
2018-12-01,74.2
2019-01-01,67.7
2019-02-01,85.6
2019-03-01,96.3
2019-04-01,
2019-05-01,
2019-06-01,118.4
2019-07-01,127.8
2019-08-01,
2019-09-01,60.9
2019-10-01,104.5
2019-11-01,68.5
2019-12-01,67.4
2020-01-01,82.6
2020-02-01,63.7
2020-03-01,31.7
2020-04-01,50.4
2020-05-01,
2020-06-01,142.6
2020-07-01,144.5
2020-08-01,52.5
2020-09-01,104.3
2020-10-01,49.8
2020-11-01,125.6
2020-12-01,58
2021-01-01,64.6
2021-02-01,75.2
2021-03-01,209.4
2021-04-01,
2021-05-01,126.7
2021-06-01,116.7
2021-07-01,92
2021-08-01,73.7
2021-09-01,112.8
2021-10-01,86.9
2021-11-01,57.4
2021-12-01,51.8
2022-01-01,33
2022-02-01,60.1
2022-03-01,60.5
2022-04-01,80.9
2022-05-01,104.9
2022-06-01,158.8
2022-07-01,133.3
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,54.9
2023-01-01,70.4
2023-02-01,40.6
2023-03-01,124.8
2023-04-01,98.8
2023-05-01,91.3
2023-06-01,73.5
2023-07-01,93.6
2023-08-01,78.7
2023-09-01,
2023-10-01,41.5
2023-11-01,69.3
2023-12-01,78.1
2024-01-01,61.1
2024-02-01,73.2
2024-03-01,73.5
2024-04-01,120.9
2024-05-01,92.7
2024-06-01,105
