Fecha,P55_Predicho,Lower_CI,Upper_CI
2024-07-01,99.732,-168.468,367.932
2024-08-01,82.345,-192.679,357.369
2024-09-01,95.265,-186.418,376.949
2024-10-01,74.128,-214.06,362.316
2024-11-01,51.736,-242.814,346.286
2024-12-01,41.02,-259.757,341.797
2025-01-01,33.741,-283.041,350.523
2025-02-01,46.618,-281.782,375.018
2025-03-01,70.077,-270.66,410.814
2025-04-01,75.711,-276.566,427.989
2025-05-01,89.804,-273.765,453.373
2025-06-01,126.848,-247.634,501.331
2025-07-01,108.252,-276.847,493.351
2025-08-01,73.242,-322.185,468.669
2025-09-01,86.931,-318.561,492.424
2025-10-01,59.339,-355.975,474.653
2025-11-01,62.861,-362.048,487.77
2025-12-01,36.806,-397.486,471.098
2026-01-01,36.632,-417.184,490.447
2026-02-01,44.306,-424.529,513.141
2026-03-01,101.915,-382.626,586.457
2026-04-01,91.43,-407.948,590.807
2026-05-01,88.961,-424.946,602.868
2026-06-01,109.187,-418.81,637.184
